ds,yhat,yhat_lower,yhat_upper
2024-12-31,1892.685344043359,-14.39848833318024,3799.769176419898
2025-01-01,1836.9807573202415,-71.04154076070677,3745.00305540119
2025-01-02,1835.3783686968934,-72.64900912799703,3743.405746521784
2025-01-03,1835.3322746595568,-72.695231382364,3743.3597807014776
2025-01-04,1835.330948726355,-72.6965612125507,3743.3584586652605
2025-01-05,1835.330910584787,-72.69659968992414,3743.3584208594984
2025-01-06,1835.330909487613,-72.69660102047487,3743.3584199957013
2025-01-07,1835.330909456052,-72.69660128246664,3743.3584201945705
2025-01-08,1835.3309094551441,-72.69660151372068,3743.3584204240087
2025-01-09,1835.330909455118,-72.69660174409,3743.358420654326
2025-01-10,1835.3309094551173,-72.69660197443432,3743.3584208846687
2025-01-11,1835.3309094551173,-72.69660220477772,3743.3584211150123
2025-01-12,1835.3309094551173,-72.69660243512112,3743.358421345356
2025-01-13,1835.3309094551173,-72.6966026654643,3743.358421575699
2025-01-14,1835.3309094551173,-72.69660289580793,3743.3584218060423
2025-01-15,1835.3309094551173,-72.69660312615133,3743.358422036386
2025-01-16,1835.3309094551173,-72.69660335649473,3743.3584222667296
2025-01-17,1835.3309094551173,-72.69660358683814,3743.3584224970728
2025-01-18,1835.3309094551173,-72.69660381718154,3743.358422727416
2025-01-19,1835.3309094551173,-72.69660404752494,3743.3584229577596
2025-01-20,1835.3309094551173,-72.69660427786835,3743.358423188103
2025-01-21,1835.3309094551173,-72.69660450821175,3743.3584234184464
2025-01-22,1835.3309094551173,-72.69660473855515,3743.3584236487895
2025-01-23,1835.3309094551173,-72.69660496889855,3743.358423879133
2025-01-24,1835.3309094551173,-72.69660519924219,3743.358424109477
2025-01-25,1835.3309094551173,-72.69660542958536,3743.35842433982
2025-01-26,1835.3309094551173,-72.69660565992876,3743.358424570163
2025-01-27,1835.3309094551173,-72.6966058902724,3743.3584248005072
2025-01-28,1835.3309094551173,-72.69660612061557,3743.3584250308504
2025-01-29,1835.3309094551173,-72.69660635095897,3743.3584252611936
